year,month,day,week,temp_2,temp_1,average,actual,forecast_noaa,forecast_acc,forecast_under,friend
2015,9,23,Mon,10,13,12.94521574580903,40,59,59,57,60
2022,2,29,Tue,65,76,94.5284134880575,57,70,59,77,26
2022,9,31,Wed,89,100,54.067142204638756,73,-14,12,45,73
2004,3,5,Mon,68,-8,78.0419399044673,-3,28,94,63,58
2002,4,13,Sun,47,75,1.6497196284387634,40,67,29,60,62
2011,1,1,Sun,78,34,40.51335494639652,89,75,3,53,9
2007,1,7,Thu,20,-13,48.84420429642249,15,78,74,32,83
2021,1,7,Sun,29,41,27.535385403248895,64,10,85,-16,52
2002,9,10,Tue,23,1,10.641160961387666,32,26,2,76,13
2000,11,6,Sat,-12,84,89.47774372147371,74,72,60,80,89
2002,8,20,Fri,38,35,-9.707875325784633,97,47,76,15,69
2004,5,12,Sun,69,63,-1.3675619766875755,98,14,16,23,89
2014,5,13,Tue,70,0,18.781774508947933,12,54,79,89,80
2013,9,24,Sat,6,77,91.29217018114419,2,13,42,-10,40
2002,3,28,Sat,61,28,48.26945480641352,43,82,99,43,14
2000,3,11,Mon,73,73,25.15401671154566,17,37,35,0,85
2004,7,18,Sat,88,-15,28.724064041309468,48,-6,42,-17,45
2022,9,2,Wed,38,14,81.37108868833315,58,57,-2,68,-8
2013,6,16,Sat,89,6,-16.75967147471834,9,64,0,84,39
2006,2,2,Sat,74,63,-18.627973953638854,-5,50,18,14,86
2008,1,19,Fri,85,92,-14.423751767672377,33,60,83,14,86
2014,2,6,Wed,-18,81,36.773805074976224,38,21,62,14,-12
2014,1,1,Tue,72,19,50.33117674758917,83,-3,51,18,0
2009,10,11,Wed,-14,-7,55.560726071463606,72,57,5,12,20
2012,10,18,Wed,61,53,68.46759205247497,71,17,84,56,87
2018,9,10,Tue,-5,31,2.9565781789786136,-15,43,30,47,44
2006,10,31,Fri,28,85,11.736445814526903,-16,8,39,100,63
2016,12,18,Sun,100,58,9.464348930107256,81,97,61,23,28
2019,8,30,Sat,11,19,-1.9501761286101384,68,94,57,83,48
2003,7,28,Wed,81,22,9.571864744844866,71,-11,61,30,-9
2004,3,1,Wed,68,91,54.25197001073762,-20,-4,80,99,86
2022,8,19,Sun,23,37,24.335802839665348,-7,11,71,17,0
2006,2,16,Tue,75,-18,72.91740486860148,62,40,76,21,40
2012,2,26,Thu,-2,-6,44.90667472051112,10,94,-15,24,91
2014,11,7,Sun,-18,24,5.656739221131193,30,63,-14,9,18
2010,10,15,Wed,39,74,36.55322207058398,100,60,39,70,66
2003,3,29,Mon,14,-10,51.79762511322964,58,25,40,14,51
2012,7,1,Sat,93,89,84.80959154288692,-2,50,-16,7,1
2006,1,23,Sat,8,18,80.87982960798566,81,94,70,20,69
2018,8,21,Sun,54,-2,31.60406009747419,11,35,-13,85,62
2021,12,9,Fri,49,58,58.36877411080343,36,40,81,24,36
2001,7,2,Sun,62,81,16.034378339550592,10,82,12,27,58
2009,4,17,Wed,80,-1,56.59340044342147,37,23,36,34,16
2012,5,25,Tue,24,65,90.4478858485423,80,73,-9,-13,20
2020,10,24,Mon,6,50,55.56967512929738,5,17,80,5,64
2005,1,10,Sun,48,35,16.756392327439492,27,83,16,86,94
2011,4,6,Tue,69,57,57.92199422782912,20,84,-6,77,56
2011,1,31,Sun,14,97,89.23331517078316,4,29,-4,94,-14
2019,1,5,Wed,-2,-17,-3.417321376568168,26,53,16,8,68
2010,10,8,Mon,-4,-12,38.37607706534516,33,11,30,34,12
2022,1,8,Fri,97,82,18.847164942228773,83,100,85,45,-18
2006,7,30,Fri,14,4,9.217561921100387,100,69,8,49,18
2000,7,5,Sun,90,26,27.94128613219626,36,32,-18,27,75
2000,4,12,Fri,92,78,27.670133563718352,51,27,54,59,84
2019,12,7,Thu,56,80,5.4623926240804295,40,60,5,-14,15
2012,2,13,Tue,57,28,28.838640549845678,-17,-20,83,54,96
2008,12,13,Wed,9,6,56.681550254172905,10,82,100,59,19
2002,3,17,Mon,27,7,-16.88643221034628,99,97,24,-15,95
2006,8,4,Sun,36,67,99.69625073040606,75,69,-15,16,93
2005,8,18,Sun,86,76,15.809263314582893,77,9,78,-12,2
2007,11,10,Sat,-4,76,55.46108910512042,91,-12,67,-18,45
2008,11,3,Sat,80,41,14.309422365137351,46,87,94,32,75
2004,6,12,Tue,96,-5,27.61784119196156,20,12,82,72,25
2000,10,1,Wed,-6,66,46.45773457206626,5,5,77,96,-15
2018,9,27,Thu,61,25,54.034152819010146,47,21,33,-13,50
2009,11,11,Wed,91,54,73.22541189193066,45,53,67,19,35
2011,12,18,Tue,-7,25,75.79374160159912,-2,21,-2,-4,0
2014,9,13,Wed,-7,19,42.76308467383713,66,75,-8,81,76
2021,4,17,Sat,24,62,-10.837183734085517,4,18,36,87,59
2008,12,8,Sat,76,13,47.49181062502902,26,40,86,49,46
2019,1,20,Mon,17,66,37.78721437239,50,99,52,26,5
2016,1,19,Thu,42,-11,6.061779479098654,-13,26,62,-10,4
2016,12,17,Sat,98,80,-18.770292489235512,-18,21,94,-11,58
2019,10,2,Mon,54,90,18.23188287586698,66,27,75,40,65
2011,5,3,Thu,-10,-20,11.398086970231194,90,91,64,-19,86
2006,2,3,Sat,100,45,38.43213642038586,12,31,75,96,80
2001,6,6,Thu,27,94,72.15378987937117,91,12,36,8,92
2002,7,10,Wed,99,65,33.1238413411474,7,6,25,49,91
2016,1,24,Mon,5,-4,95.13977882426488,1,22,-9,30,43
2004,6,22,Thu,46,26,6.778911491394133,78,8,8,92,63
2016,8,18,Sun,4,3,6.735197029746455,77,-2,76,52,32
2016,12,18,Thu,60,29,53.13839710349043,9,61,44,45,29
2016,5,14,Wed,40,64,88.4477738480786,26,78,28,47,8
2001,12,16,Sat,65,83,61.29476564036585,15,90,-17,36,80
2001,7,7,Sat,72,8,61.51506577620299,38,7,56,20,-2
2021,10,1,Sun,89,96,77.560602907459,-7,81,66,83,83
2022,6,17,Tue,5,57,60.91022467088385,52,-11,7,73,74
2004,4,23,Tue,13,51,71.88107196899918,65,46,86,43,37
2000,7,25,Sat,69,73,84.80142285477167,71,85,29,-17,-7
2000,10,5,Sun,100,65,-19.04280438584895,84,72,-9,-20,86
2018,9,27,Fri,-12,66,87.16037215769343,-7,-5,62,86,-6
2001,10,1,Fri,19,83,6.046989706344011,58,79,95,54,42
2020,10,21,Sun,54,94,90.36476269076987,35,-20,76,-14,-20
2011,7,27,Thu,-14,-8,12.20817872900033,80,97,-3,61,95
2005,12,17,Sat,9,43,35.08391165981758,3,61,77,-13,55
2022,5,10,Tue,97,7,92.99988774643664,77,-17,73,73,43
2003,7,31,Thu,45,73,-6.7206356620977274,99,48,86,58,-10
2022,3,12,Mon,9,-16,70.17925853584767,28,64,90,37,26
2010,2,25,Sun,47,53,27.486285282830607,22,-17,90,-11,-12
2016,11,20,Sun,37,82,-17.083809603332508,88,94,-15,89,87
2005,5,25,Tue,34,-12,93.63510110878332,87,-1,47,45,76
2004,4,2,Tue,-7,-7,-5.742707657458807,-18,42,55,85,33
2019,5,23,Tue,56,81,73.67115427452904,2,62,2,94,97
2001,8,16,Sun,97,-11,26.496687764042342,-1,14,7,58,6
2005,12,15,Fri,68,12,78.08053432561564,88,95,54,1,77
2021,4,28,Wed,56,54,70.78475903896857,-6,24,71,31,92
2010,9,13,Wed,56,19,56.619443595923045,22,36,19,77,-20
2015,7,18,Sun,16,-15,93.64592456282926,59,100,77,28,-11
2015,10,28,Fri,23,-4,-8.030258829693,50,3,27,46,-8
2000,12,20,Sat,-15,15,76.62807455003183,12,-1,13,-17,8
2008,7,22,Sat,5,49,61.16501907336813,34,93,64,68,90
2005,8,14,Sun,97,40,18.081209847146695,62,7,79,36,-16
2015,12,18,Sun,-7,90,46.062635157588105,61,100,71,48,54
2002,6,2,Fri,-13,53,57.99994927319803,20,17,41,55,32
2019,8,2,Fri,3,28,69.08884363261889,-3,3,37,32,70
2003,3,3,Sat,65,85,2.634226188099401,-18,63,13,34,18
2018,10,5,Wed,83,48,-7.644263960180199,-18,3,36,3,100
2002,10,25,Thu,18,62,-7.651237160783724,79,49,84,62,79
2018,1,16,Fri,28,50,15.558108092767888,-5,81,8,75,31
2019,6,22,Thu,64,3,-1.3450483596583176,22,97,69,-9,70
2006,1,31,Thu,86,30,44.81263033000272,2,4,56,80,86
2019,9,15,Mon,42,21,32.881839032635895,66,75,31,34,82
2008,2,12,Wed,5,-2,88.06105419361745,-6,60,77,26,25
2000,11,30,Sun,-11,41,66.80570059867597,52,60,62,6,68
2007,2,9,Thu,56,54,4.903277140915769,37,48,-13,-3,18
2006,7,26,Sun,85,46,-14.46703174527962,19,-4,72,68,67
2017,2,31,Sun,96,9,65.8078595200742,97,37,86,30,21
2007,10,14,Wed,37,86,82.34513396022535,17,52,83,66,27
2000,8,29,Wed,-7,17,64.82022809925833,96,-1,-5,39,10
2010,6,21,Mon,52,-15,57.89911832578812,61,-19,71,36,50
2017,7,16,Sun,50,90,10.167123285291826,81,62,9,100,68
2022,7,11,Sat,18,78,39.847023648270095,-15,-12,66,46,65
2009,6,6,Wed,10,1,67.7203653687783,87,42,72,-19,54
2002,10,10,Thu,29,100,3.3983475020078053,80,83,63,-10,4
2006,11,28,Sat,-5,-10,37.66176879705257,25,62,60,89,62
2015,9,8,Sat,51,51,-5.839579230390221,-15,88,5,96,-17
2015,9,16,Tue,91,70,44.216997197056216,64,99,36,80,68
2019,7,3,Thu,30,8,49.39801319867519,73,47,90,73,77
2016,9,2,Thu,-6,98,44.78166128694538,71,-15,18,-8,7
2001,10,16,Wed,68,98,36.80521887760164,-1,79,12,19,59
2000,3,19,Thu,90,-13,51.081928858258465,-2,-10,57,-15,-19
2015,3,30,Sun,17,66,100.61274205542053,-7,0,10,-9,5
2011,1,9,Tue,84,72,55.32690816712028,44,85,59,82,51
2004,5,16,Wed,58,59,71.06069439909727,70,42,0,22,22
2004,4,31,Fri,68,14,3.2466290469738155,95,91,78,51,69
2022,2,22,Thu,50,51,44.13283202911239,75,68,29,52,17
2008,9,26,Thu,69,51,-19.091848079296927,8,9,62,-17,0
2008,3,28,Mon,51,24,-16.19361203126585,10,61,-15,16,29
2002,8,4,Fri,61,12,19.020129133265606,4,68,39,15,-4
2018,6,10,Fri,0,85,36.45865780315294,98,94,66,11,9
2015,5,19,Sun,-5,-16,49.652057352521695,50,0,69,36,94
2015,1,13,Tue,90,41,87.44852843087422,82,2,52,-9,22
2002,4,18,Sun,46,16,73.38252007146684,25,40,-8,-3,17
2019,3,15,Fri,44,-4,16.297212087333172,31,9,37,40,38
2021,1,30,Sun,-8,1,69.96158530366156,-5,87,23,10,38
2000,12,4,Sun,97,57,46.4763210397693,87,25,58,90,23
2019,5,9,Mon,43,81,74.2809357187684,98,39,11,19,55
2010,6,4,Tue,40,11,29.737000972961404,-10,-3,38,86,10
2016,2,29,Sun,11,-7,-8.880908643239641,-3,41,82,25,87
2007,3,16,Sun,-9,87,54.83702008198108,87,95,87,18,16
2003,11,28,Fri,74,-1,47.40154483794082,35,76,60,42,81
2005,6,21,Tue,20,1,95.38602731729068,85,24,24,72,26
2007,4,15,Fri,45,9,-0.38225316324377445,35,40,34,91,50
2019,9,24,Fri,84,33,59.39208625357334,36,38,72,34,50
2002,5,2,Sun,-13,12,37.362888746439516,48,14,28,19,14
2015,4,28,Sat,38,-16,25.849617179907575,99,89,40,8,70
2002,2,27,Fri,4,-3,76.14267523859323,45,1,19,70,5
2017,6,14,Sun,-16,42,78.0886827018824,53,93,61,-10,35
2013,10,3,Thu,24,25,66.46667119016038,69,3,13,76,83
2017,2,22,Fri,-19,-14,-9.884218410947556,67,66,92,92,22
2001,12,28,Thu,21,8,21.758396392637557,69,30,68,18,-2
2021,7,23,Wed,17,36,-14.343227576136142,-5,44,-9,61,1
2002,3,4,Sat,82,26,21.5854238206702,68,-6,88,23,36
2015,9,30,Mon,-18,-12,58.3980512091663,81,91,-6,-1,44
2008,11,31,Tue,25,90,42.76351939756869,-15,7,86,71,13
2003,5,1,Tue,91,38,65.05535571015301,31,21,67,65,29
2000,8,23,Wed,81,91,46.726876651917564,99,-1,-12,75,11
2003,11,28,Fri,1,84,47.25346695025509,34,79,83,64,32
2000,6,9,Mon,83,50,41.82679148665531,55,22,-1,80,72
2013,12,17,Wed,12,50,24.08336768235035,52,59,68,6,65
2020,10,14,Wed,95,92,34.03435044597727,28,48,90,17,30
2015,8,17,Tue,11,22,-6.395032901709316,85,94,67,69,-1
2019,11,1,Thu,90,38,80.97552249600456,51,42,28,66,37
2007,12,10,Thu,-4,-15,87.5946082543386,35,22,69,77,71
2006,3,23,Fri,99,89,72.71876842876736,74,93,-7,55,24
2002,3,16,Fri,61,90,50.61390747228553,20,58,-16,-10,29
2016,5,27,Sun,35,32,48.87068901380124,75,-19,27,15,94
2000,11,25,Sun,-18,43,36.90915910945012,50,67,36,11,71
2015,10,19,Wed,99,83,7.9929545221122815,75,56,72,82,-13
2011,3,24,Fri,49,99,26.440262818352146,100,2,39,80,90
2018,8,25,Thu,28,70,99.77860344850505,85,-9,51,86,0
2021,10,3,Mon,34,-17,-2.357835489522948,35,25,60,41,-3
2022,12,28,Tue,56,-20,45.664674446051265,100,12,97,-5,85
2021,8,12,Thu,98,49,84.84962167676268,68,23,22,21,-6
2013,2,3,Sun,97,10,34.813203403493716,76,88,65,10,-11
2005,12,15,Sat,10,44,53.27884213433529,94,4,61,84,70
2005,4,17,Fri,60,96,80.1629714417375,42,14,70,49,42
2012,10,18,Tue,0,48,46.254924330626906,97,14,43,-8,61
2018,1,7,Sat,-5,-2,68.50776854323398,7,44,-19,15,-1
2021,4,19,Tue,-4,48,22.019958205722276,54,22,-20,54,100
2007,12,7,Wed,75,97,68.69580911004616,10,47,97,-10,41
2001,11,5,Fri,-20,48,-15.036420686395466,34,41,43,27,81
2020,4,26,Wed,91,28,-1.4991853392743515,31,10,84,-1,76
2000,10,8,Tue,81,10,57.11283733224052,53,7,51,8,89
2014,9,21,Wed,51,39,34.32350071197797,45,-10,64,-2,31
2000,3,16,Fri,44,87,80.23022258217735,25,11,3,73,9
2004,2,16,Thu,45,50,21.378911611968242,87,45,-19,-15,-18
2015,9,19,Mon,90,58,72.83220592448193,-17,39,87,35,-20
2018,9,25,Sat,16,94,-3.1673430622777445,1,30,38,60,97
2003,1,15,Thu,3,34,92.54773604600098,24,87,81,61,-11
2002,6,7,Tue,70,96,30.6311599056749,95,38,71,79,28
2016,10,5,Thu,63,56,7.939125540778022,7,56,13,98,44
2016,8,23,Wed,90,55,75.48739849451074,-11,-4,35,-3,91
2011,3,11,Fri,41,62,94.6942257300162,45,94,55,86,98
2013,11,10,Thu,0,56,91.0878891499483,100,47,93,55,12
2020,9,25,Thu,85,70,8.79061053007375,28,74,-16,21,72
2005,2,21,Fri,16,17,61.31293162773801,74,17,88,39,14
2002,6,23,Wed,14,12,46.16981710511847,85,43,34,35,16
2008,1,27,Mon,17,-15,67.73760447492661,66,-18,98,-18,30
2004,7,9,Thu,32,-8,38.91887467680452,59,86,15,90,74
2016,3,1,Sat,-6,56,36.84134195695959,52,33,51,61,33
2013,7,20,Tue,93,56,86.80752834602798,30,55,73,59,42
2020,4,1,Sun,89,-1,85.42202600690077,22,23,34,18,25
2002,9,8,Wed,21,79,75.29915534717276,-15,61,-11,22,25
2000,5,3,Wed,73,16,65.2922806760362,100,9,64,7,100
2019,3,2,Thu,-17,24,62.082356050261765,4,89,25,21,29
2020,8,30,Sat,86,52,-13.201989387040447,-17,54,31,-12,-14
2022,6,4,Sun,95,60,70.69387842759869,91,67,41,63,63
2000,2,27,Fri,18,78,57.21064205604492,55,64,77,-3,40
2002,3,19,Sun,58,38,16.591778946377005,3,92,77,68,86
2017,8,11,Thu,2,31,79.23227982761921,35,33,-17,0,65
2009,10,5,Thu,84,-3,80.72609574531424,70,27,35,88,85
2021,7,31,Fri,-6,4,92.79507073768723,91,14,-10,5,-9
2002,10,29,Tue,69,58,30.62132204946927,34,47,65,2,53
2007,6,24,Fri,-9,66,46.701246257839344,33,5,84,-11,17
2013,1,10,Thu,61,-20,89.62046425141826,-18,51,29,96,74
2017,9,24,Mon,49,20,18.33296943410855,55,67,40,23,83
2014,3,27,Fri,61,81,76.39375911802037,26,86,2,-8,18
2021,5,23,Tue,100,-3,100.02795946070994,95,88,92,32,88
2022,7,8,Fri,93,-20,58.88421501954558,9,35,77,97,0
2001,7,13,Fri,33,97,99.0281813178475,55,55,9,16,2
2009,3,29,Wed,67,18,42.41330423633687,20,48,68,35,74
2001,4,5,Wed,17,53,-1.4805399490057383,85,59,67,38,23
2016,10,26,Thu,7,10,1.2471015555695963,34,43,4,-9,23
2007,7,26,Thu,58,81,68.49631230500682,38,75,9,79,73
2000,8,27,Sun,-2,50,-19.890039236296143,19,8,18,-18,65
2008,2,12,Fri,48,17,60.08843826571018,24,76,87,-7,88
2010,9,27,Mon,43,-13,-1.6961149333859318,1,84,59,14,0
2021,7,13,Sat,-17,13,99.10859867444401,-6,57,53,77,84
2015,8,22,Thu,60,52,-0.2615691780239331,71,38,74,83,63
2006,6,8,Fri,96,68,46.84814339220151,-4,4,-10,72,71
2009,6,15,Fri,-11,6,61.00293880273591,38,51,52,9,82
2022,9,13,Sat,-9,20,79.15903845656013,87,6,15,50,40
2002,4,1,Fri,48,-14,35.57090997294684,91,78,91,97,59
2017,11,22,Sat,-14,11,92.98964971435177,4,1,62,45,98
2012,11,6,Sat,23,52,38.10981114092124,22,50,31,-3,62
2006,5,31,Sun,2,60,10.49925275540743,43,79,-16,5,3
2003,9,11,Fri,-19,78,51.757261319432416,30,26,55,60,100
2012,1,13,Sun,73,91,59.61867515585493,40,55,53,25,86
2019,4,21,Fri,95,-5,41.39432830328982,24,34,-7,-9,10
2000,7,20,Wed,92,-19,68.7150375027835,-18,-12,-1,37,-16
2007,11,1,Sat,88,22,30.902374026257803,100,33,-1,93,60
2013,9,11,Tue,16,10,-19.475244318396754,15,93,23,36,44
2015,11,26,Sat,48,59,12.0092114844809,74,43,98,11,16
2013,12,11,Tue,-1,26,94.45454473332705,99,97,79,92,73
2011,10,8,Fri,69,12,72.35001363327501,58,88,95,72,11
2018,6,22,Thu,23,64,2.9335927339284495,89,78,4,91,75
2022,12,3,Mon,87,-4,-11.934987976644697,43,18,20,43,45
2014,8,28,Sun,82,78,22.44642471252631,7,62,89,53,13
2001,9,19,Fri,49,33,81.19253339934006,86,71,48,79,87
2001,10,12,Mon,72,33,-7.17649099414516,74,72,84,45,8
2022,4,6,Wed,53,30,45.745818426851855,24,-13,70,16,97
2021,1,28,Tue,30,31,13.275029651157787,63,86,-19,-7,-16
2018,8,31,Sun,59,-14,67.87685770304557,93,6,-9,-11,9
2021,2,23,Wed,77,33,-19.950351783676194,88,48,7,83,86
2021,11,8,Thu,10,72,13.53806936879377,0,91,23,44,24
2016,1,5,Thu,79,-10,62.189294101294905,6,72,-8,43,-3
2019,7,10,Sat,20,41,46.156811953974696,62,78,64,20,57
2009,12,22,Sun,37,9,74.24274081676029,79,12,22,98,16
2005,10,16,Sun,-16,61,-0.9212120536948518,55,75,34,0,-10
2014,9,12,Sun,12,36,44.24803972369715,14,64,-13,48,-17
2021,11,17,Fri,22,25,3.6881446448227173,27,-11,43,-12,65
2010,12,6,Sat,-2,59,57.34563685707522,76,85,96,-12,92
2004,12,9,Thu,11,49,-4.107554373960184,79,-5,-9,-3,25
2000,9,10,Thu,100,45,-2.0080489094399603,84,-10,20,99,-18
2007,3,20,Sat,66,34,19.712834236979752,2,-2,23,48,32
2020,6,14,Wed,-18,86,28.6306773128125,43,43,-10,41,3
2011,7,14,Mon,-20,86,40.32571771260386,-8,31,-2,-5,77
2011,10,26,Tue,79,37,50.26553127085204,97,56,39,77,-13
2004,9,29,Thu,20,-11,36.726472197479715,9,-6,51,100,67
2006,2,17,Sat,71,-17,-14.477714623729025,53,21,6,-17,59
2003,8,30,Thu,27,92,21.558705607174346,84,79,100,0,-15
