Filial,Cidade,Sexo,Categoria,Tipo Cliente,Tipo Promoção,Vendas,Quantidade,Data,Semana,Mês,Ano,Preço Unitário,Preço Unitário com Desconto,Valor Total
Filial C,Manaus,M,Ar condicionado,Pessoa Física,Promoção C,84,10,2021-02-28,8,2,2021,136,95.19999999999999,951.9999999999999
Filial A,Rio Branco,M,Informática,Pessoa Jurídica,Promoção C,92,5,2021-03-01,9,3,2021,41,28.7,143.5
Filial B,Manaus,F,Informática,Pessoa Jurídica,Promoção C,60,7,2021-03-02,9,3,2021,18,12.6,88.2
Filial A,Palmas,F,Ar condicionado,Pessoa Física,Sem Promoção,71,16,2021-03-03,9,3,2021,87,87.0,1392.0
Filial D,Rio Branco,F,Informática,Pessoa Física,Promoção C,44,1,2021-03-04,9,3,2021,22,15.399999999999999,15.399999999999999
Filial C,Belém,M,Ar condicionado,Pessoa Jurídica,Sem Promoção,8,12,2021-03-05,9,3,2021,193,193.0,2316.0
Filial D,Porto Velho,M,Eletro-eletrônicos,Pessoa Jurídica,Sem Promoção,47,2,2021-03-06,9,3,2021,133,133.0,266.0
Filial C,Palmas,M,Móveis,Pessoa Jurídica,Sem Promoção,35,7,2021-03-07,9,3,2021,181,181.0,1267.0
Filial B,Palmas,F,Móveis,Pessoa Física,Promoção C,78,11,2021-03-08,10,3,2021,105,73.5,808.5
Filial C,Boa Vista,F,Ar condicionado,Pessoa Física,Promoção C,81,13,2021-03-09,10,3,2021,92,64.39999999999999,837.1999999999999
Filial C,Belém,F,Informática,Pessoa Física,Promoção B,36,2,2021-03-10,10,3,2021,167,133.6,267.2
Filial B,Macapá,F,Ar condicionado,Pessoa Jurídica,Promoção C,50,7,2021-03-11,10,3,2021,153,107.1,749.6999999999999
Filial C,Rio Branco,M,Ar condicionado,Pessoa Física,Promoção A,4,15,2021-03-12,10,3,2021,149,134.1,2011.5
Filial A,Porto Velho,M,Informática,Pessoa Jurídica,Promoção B,2,11,2021-03-13,10,3,2021,27,21.6,237.60000000000002
Filial E,Porto Velho,M,Informática,Pessoa Física,Promoção A,6,2,2021-03-14,10,3,2021,150,135.0,270.0
Filial B,Palmas,M,Informática,Pessoa Jurídica,Promoção B,54,7,2021-03-15,11,3,2021,102,81.60000000000001,571.2
Filial E,Macapá,F,Ar condicionado,Pessoa Jurídica,Promoção C,4,4,2021-03-16,11,3,2021,33,23.099999999999998,92.39999999999999
Filial B,Rio Branco,F,Ar condicionado,Pessoa Física,Promoção B,54,11,2021-03-17,11,3,2021,111,88.80000000000001,976.8000000000002
Filial B,Macapá,F,Ar condicionado,Pessoa Jurídica,Promoção A,93,2,2021-03-18,11,3,2021,149,134.1,268.2
Filial D,Porto Velho,M,Ar condicionado,Pessoa Jurídica,Promoção A,63,16,2021-03-19,11,3,2021,69,62.1,993.6
Filial D,Boa Vista,M,Móveis,Pessoa Física,Promoção B,18,7,2021-03-20,11,3,2021,69,55.2,386.40000000000003
Filial C,Manaus,M,Informática,Pessoa Física,Promoção B,90,13,2021-03-21,11,3,2021,109,87.2,1133.6000000000001
Filial E,Porto Velho,F,Ar condicionado,Pessoa Física,Sem Promoção,44,5,2021-03-22,12,3,2021,10,10.0,50.0
Filial B,Palmas,M,Ar condicionado,Pessoa Física,Promoção B,34,17,2021-03-23,12,3,2021,52,41.6,707.2
Filial C,Belém,M,Móveis,Pessoa Física,Promoção B,74,12,2021-03-24,12,3,2021,64,51.2,614.4000000000001
Filial A,Manaus,M,Ar condicionado,Pessoa Jurídica,Promoção B,62,19,2021-03-25,12,3,2021,177,141.6,2690.4
Filial B,Porto Velho,F,Eletro-eletrônicos,Pessoa Física,Sem Promoção,14,7,2021-03-26,12,3,2021,43,43.0,301.0
Filial A,Belém,M,Informática,Pessoa Jurídica,Promoção A,95,6,2021-03-27,12,3,2021,43,38.7,232.20000000000002
Filial C,Palmas,F,Informática,Pessoa Jurídica,Promoção C,48,8,2021-03-28,12,3,2021,185,129.5,1036.0
Filial D,Manaus,M,Móveis,Pessoa Física,Promoção A,15,13,2021-03-29,13,3,2021,170,153.0,1989.0
Filial C,Palmas,F,Ar condicionado,Pessoa Física,Promoção A,72,5,2021-03-30,13,3,2021,167,150.3,751.5
Filial A,Porto Velho,F,Eletro-eletrônicos,Pessoa Jurídica,Promoção B,78,2,2021-03-31,13,3,2021,119,95.2,190.4
Filial B,Belém,M,Informática,Pessoa Física,Promoção C,87,9,2021-04-01,13,4,2021,93,65.1,585.9
Filial E,Porto Velho,M,Eletro-eletrônicos,Pessoa Jurídica,Promoção C,62,11,2021-04-02,13,4,2021,99,69.3,762.3
Filial C,Macapá,M,Móveis,Pessoa Física,Sem Promoção,40,6,2021-04-03,13,4,2021,88,88.0,528.0
Filial B,Boa Vista,M,Informática,Pessoa Física,Sem Promoção,85,7,2021-04-04,13,4,2021,80,80.0,560.0
Filial D,Rio Branco,M,Eletro-eletrônicos,Pessoa Jurídica,Promoção B,80,7,2021-04-05,14,4,2021,80,64.0,448.0
Filial D,Macapá,F,Eletro-eletrônicos,Pessoa Física,Promoção B,82,19,2021-04-06,14,4,2021,123,98.4,1869.6000000000001
Filial D,Macapá,F,Ar condicionado,Pessoa Física,Promoção C,53,6,2021-04-07,14,4,2021,38,26.599999999999998,159.6
Filial B,Porto Velho,M,Ar condicionado,Pessoa Jurídica,Sem Promoção,24,11,2021-04-08,14,4,2021,160,160.0,1760.0
Filial C,Rio Branco,M,Ar condicionado,Pessoa Física,Promoção A,26,11,2021-04-09,14,4,2021,171,153.9,1692.9
Filial B,Palmas,F,Informática,Pessoa Jurídica,Promoção C,89,7,2021-04-10,14,4,2021,152,106.39999999999999,744.8
Filial B,Manaus,M,Ar condicionado,Pessoa Jurídica,Promoção B,60,2,2021-04-11,14,4,2021,106,84.80000000000001,169.60000000000002
Filial E,Belém,F,Eletro-eletrônicos,Pessoa Jurídica,Promoção A,41,19,2021-04-12,15,4,2021,62,55.800000000000004,1060.2
Filial E,Macapá,M,Ar condicionado,Pessoa Física,Promoção A,29,4,2021-04-13,15,4,2021,154,138.6,554.4
Filial C,Macapá,M,Ar condicionado,Pessoa Jurídica,Promoção A,15,6,2021-04-14,15,4,2021,73,65.7,394.20000000000005
Filial E,Porto Velho,F,Eletro-eletrônicos,Pessoa Jurídica,Sem Promoção,45,17,2021-04-15,15,4,2021,70,70.0,1190.0
Filial D,Palmas,F,Móveis,Pessoa Física,Promoção B,65,5,2021-04-16,15,4,2021,194,155.20000000000002,776.0000000000001
Filial E,Porto Velho,F,Informática,Pessoa Jurídica,Promoção A,89,7,2021-04-17,15,4,2021,117,105.3,737.1
Filial D,Manaus,F,Eletro-eletrônicos,Pessoa Jurídica,Sem Promoção,71,9,2021-04-18,15,4,2021,46,46.0,414.0
Filial C,Porto Velho,F,Móveis,Pessoa Jurídica,Promoção C,9,1,2021-04-19,16,4,2021,144,100.8,100.8
Filial B,Macapá,F,Eletro-eletrônicos,Pessoa Jurídica,Sem Promoção,88,1,2021-04-20,16,4,2021,17,17.0,17.0
Filial B,Belém,F,Móveis,Pessoa Física,Promoção C,1,19,2021-04-21,16,4,2021,87,60.9,1157.1
Filial E,Rio Branco,M,Móveis,Pessoa Física,Sem Promoção,8,6,2021-04-22,16,4,2021,77,77.0,462.0
Filial D,Boa Vista,F,Eletro-eletrônicos,Pessoa Jurídica,Sem Promoção,88,18,2021-04-23,16,4,2021,30,30.0,540.0
Filial A,Porto Velho,M,Móveis,Pessoa Jurídica,Promoção B,63,10,2021-04-24,16,4,2021,198,158.4,1584.0
Filial A,Boa Vista,M,Ar condicionado,Pessoa Jurídica,Promoção C,11,11,2021-04-25,16,4,2021,103,72.1,793.0999999999999
Filial A,Palmas,M,Móveis,Pessoa Jurídica,Promoção C,81,1,2021-04-26,17,4,2021,84,58.8,58.8
Filial B,Rio Branco,F,Ar condicionado,Pessoa Jurídica,Sem Promoção,8,1,2021-04-27,17,4,2021,166,166.0,166.0
Filial B,Rio Branco,F,Eletro-eletrônicos,Pessoa Física,Sem Promoção,35,13,2021-04-28,17,4,2021,162,162.0,2106.0
Filial D,Palmas,F,Ar condicionado,Pessoa Física,Promoção B,35,5,2021-04-29,17,4,2021,195,156.0,780.0
Filial E,Palmas,F,Informática,Pessoa Física,Sem Promoção,33,1,2021-04-30,17,4,2021,151,151.0,151.0
Filial A,Porto Velho,F,Móveis,Pessoa Física,Promoção A,5,3,2021-05-01,17,5,2021,87,78.3,234.89999999999998
Filial D,Rio Branco,F,Informática,Pessoa Jurídica,Promoção A,41,18,2021-05-02,17,5,2021,75,67.5,1215.0
Filial D,Manaus,F,Eletro-eletrônicos,Pessoa Jurídica,Promoção B,28,9,2021-05-03,18,5,2021,191,152.8,1375.2
Filial E,Boa Vista,M,Ar condicionado,Pessoa Jurídica,Promoção B,7,14,2021-05-04,18,5,2021,167,133.6,1870.3999999999999
Filial D,Macapá,F,Eletro-eletrônicos,Pessoa Jurídica,Sem Promoção,73,17,2021-05-05,18,5,2021,155,155.0,2635.0
Filial E,Palmas,F,Móveis,Pessoa Física,Promoção A,72,14,2021-05-06,18,5,2021,63,56.7,793.8000000000001
Filial C,Manaus,M,Ar condicionado,Pessoa Jurídica,Promoção A,12,4,2021-05-07,18,5,2021,109,98.10000000000001,392.40000000000003
Filial E,Belém,M,Móveis,Pessoa Física,Promoção B,34,5,2021-05-08,18,5,2021,30,24.0,120.0
Filial A,Palmas,M,Móveis,Pessoa Jurídica,Promoção B,33,17,2021-05-09,18,5,2021,62,49.6,843.2
Filial A,Porto Velho,M,Eletro-eletrônicos,Pessoa Jurídica,Promoção B,48,2,2021-05-10,19,5,2021,92,73.60000000000001,147.20000000000002
Filial E,Rio Branco,M,Ar condicionado,Pessoa Física,Sem Promoção,23,5,2021-05-11,19,5,2021,153,153.0,765.0
Filial C,Palmas,F,Móveis,Pessoa Física,Promoção A,62,4,2021-05-12,19,5,2021,165,148.5,594.0
Filial C,Macapá,M,Móveis,Pessoa Jurídica,Promoção A,88,4,2021-05-13,19,5,2021,13,11.700000000000001,46.800000000000004
Filial A,Boa Vista,M,Eletro-eletrônicos,Pessoa Física,Promoção C,37,6,2021-05-14,19,5,2021,64,44.8,268.79999999999995
Filial C,Macapá,F,Móveis,Pessoa Jurídica,Sem Promoção,99,13,2021-05-15,19,5,2021,24,24.0,312.0
Filial D,Manaus,F,Móveis,Pessoa Física,Promoção B,44,5,2021-05-16,19,5,2021,73,58.400000000000006,292.0
Filial B,Macapá,F,Informática,Pessoa Jurídica,Promoção C,86,7,2021-05-17,20,5,2021,121,84.69999999999999,592.8999999999999
Filial D,Porto Velho,F,Eletro-eletrônicos,Pessoa Jurídica,Promoção B,91,1,2021-05-18,20,5,2021,153,122.4,122.4
Filial A,Rio Branco,F,Eletro-eletrônicos,Pessoa Física,Promoção A,35,14,2021-05-19,20,5,2021,127,114.3,1600.2
Filial C,Boa Vista,F,Informática,Pessoa Física,Promoção B,65,4,2021-05-20,20,5,2021,29,23.200000000000003,92.80000000000001
Filial E,Boa Vista,M,Ar condicionado,Pessoa Física,Sem Promoção,99,17,2021-05-21,20,5,2021,73,73.0,1241.0
Filial B,Boa Vista,M,Ar condicionado,Pessoa Física,Promoção C,47,14,2021-05-22,20,5,2021,42,29.4,411.59999999999997
Filial E,Boa Vista,M,Eletro-eletrônicos,Pessoa Física,Promoção B,78,16,2021-05-23,20,5,2021,90,72.0,1152.0
Filial A,Palmas,F,Ar condicionado,Pessoa Física,Promoção A,3,14,2021-05-24,21,5,2021,135,121.5,1701.0
Filial C,Porto Velho,M,Móveis,Pessoa Física,Promoção A,1,16,2021-05-25,21,5,2021,78,70.2,1123.2
Filial E,Porto Velho,F,Informática,Pessoa Física,Sem Promoção,5,8,2021-05-26,21,5,2021,195,195.0,1560.0
Filial E,Manaus,M,Móveis,Pessoa Jurídica,Promoção A,90,3,2021-05-27,21,5,2021,176,158.4,475.20000000000005
Filial B,Manaus,F,Informática,Pessoa Física,Promoção B,14,19,2021-05-28,21,5,2021,173,138.4,2629.6
Filial B,Macapá,F,Informática,Pessoa Física,Sem Promoção,27,1,2021-05-29,21,5,2021,103,103.0,103.0
Filial C,Porto Velho,F,Móveis,Pessoa Física,Sem Promoção,9,2,2021-05-30,21,5,2021,77,77.0,154.0
Filial B,Manaus,M,Móveis,Pessoa Física,Promoção C,79,15,2021-05-31,22,5,2021,96,67.19999999999999,1007.9999999999998
Filial E,Boa Vista,F,Móveis,Pessoa Física,Promoção C,15,10,2021-06-01,22,6,2021,30,21.0,210.0
Filial E,Belém,F,Informática,Pessoa Jurídica,Promoção C,90,18,2021-06-02,22,6,2021,72,50.4,907.1999999999999
Filial A,Macapá,M,Eletro-eletrônicos,Pessoa Física,Promoção C,42,14,2021-06-03,22,6,2021,94,65.8,921.1999999999999
Filial E,Palmas,F,Móveis,Pessoa Jurídica,Promoção B,77,17,2021-06-04,22,6,2021,143,114.4,1944.8000000000002
Filial C,Belém,F,Móveis,Pessoa Física,Promoção B,51,13,2021-06-05,22,6,2021,33,26.400000000000002,343.20000000000005
Filial D,Boa Vista,M,Ar condicionado,Pessoa Jurídica,Sem Promoção,63,1,2021-06-06,22,6,2021,120,120.0,120.0
Filial A,Porto Velho,F,Móveis,Pessoa Física,Sem Promoção,96,5,2021-06-07,23,6,2021,190,190.0,950.0
Filial A,Belém,M,Ar condicionado,Pessoa Física,Promoção B,52,13,2021-06-08,23,6,2021,104,83.2,1081.6000000000001
Filial C,Porto Velho,F,Eletro-eletrônicos,Pessoa Física,Promoção A,96,14,2021-06-09,23,6,2021,92,82.8,1159.2
Filial C,Macapá,F,Informática,Pessoa Jurídica,Promoção B,4,3,2021-06-10,23,6,2021,111,88.80000000000001,266.40000000000003
Filial B,Porto Velho,F,Móveis,Pessoa Física,Promoção C,94,15,2021-06-11,23,6,2021,87,60.9,913.5
Filial A,Manaus,M,Ar condicionado,Pessoa Física,Promoção C,23,19,2021-06-12,23,6,2021,187,130.9,2487.1
Filial B,Porto Velho,F,Eletro-eletrônicos,Pessoa Jurídica,Sem Promoção,15,17,2021-06-13,23,6,2021,133,133.0,2261.0
Filial E,Boa Vista,F,Informática,Pessoa Física,Promoção A,43,3,2021-06-14,24,6,2021,149,134.1,402.29999999999995
Filial A,Rio Branco,M,Informática,Pessoa Jurídica,Promoção C,29,16,2021-06-15,24,6,2021,193,135.1,2161.6
Filial A,Porto Velho,F,Informática,Pessoa Jurídica,Promoção C,36,14,2021-06-16,24,6,2021,129,90.3,1264.2
Filial D,Porto Velho,M,Informática,Pessoa Física,Promoção A,13,12,2021-06-17,24,6,2021,24,21.6,259.20000000000005
Filial A,Macapá,M,Informática,Pessoa Física,Promoção A,32,12,2021-06-18,24,6,2021,92,82.8,993.5999999999999
Filial E,Manaus,F,Ar condicionado,Pessoa Jurídica,Promoção C,71,11,2021-06-19,24,6,2021,177,123.89999999999999,1362.8999999999999
Filial B,Palmas,M,Informática,Pessoa Jurídica,Sem Promoção,59,17,2021-06-20,24,6,2021,178,178.0,3026.0
Filial B,Porto Velho,F,Móveis,Pessoa Jurídica,Promoção B,86,8,2021-06-21,25,6,2021,15,12.0,96.0
Filial D,Belém,F,Móveis,Pessoa Física,Promoção A,28,17,2021-06-22,25,6,2021,76,68.4,1162.8000000000002
Filial E,Palmas,M,Ar condicionado,Pessoa Física,Promoção B,66,11,2021-06-23,25,6,2021,170,136.0,1496.0
Filial B,Boa Vista,M,Informática,Pessoa Jurídica,Promoção C,42,2,2021-06-24,25,6,2021,180,125.99999999999999,251.99999999999997
Filial C,Rio Branco,M,Móveis,Pessoa Física,Promoção B,45,10,2021-06-25,25,6,2021,131,104.80000000000001,1048.0
Filial E,Palmas,M,Móveis,Pessoa Jurídica,Sem Promoção,62,10,2021-06-26,25,6,2021,158,158.0,1580.0
Filial E,Rio Branco,M,Ar condicionado,Pessoa Jurídica,Promoção B,57,11,2021-06-27,25,6,2021,93,74.4,818.4000000000001
Filial D,Manaus,M,Informática,Pessoa Jurídica,Sem Promoção,6,6,2021-06-28,26,6,2021,120,120.0,720.0
Filial B,Porto Velho,F,Móveis,Pessoa Jurídica,Promoção C,28,4,2021-06-29,26,6,2021,154,107.8,431.2
Filial E,Belém,F,Informática,Pessoa Jurídica,Promoção A,28,12,2021-06-30,26,6,2021,145,130.5,1566.0
Filial B,Macapá,M,Eletro-eletrônicos,Pessoa Jurídica,Promoção A,44,11,2021-07-01,26,7,2021,73,65.7,722.7
Filial C,Porto Velho,M,Informática,Pessoa Física,Promoção B,84,13,2021-07-02,26,7,2021,135,108.0,1404.0
Filial D,Porto Velho,M,Ar condicionado,Pessoa Física,Promoção C,30,5,2021-07-03,26,7,2021,37,25.9,129.5
Filial C,Porto Velho,M,Ar condicionado,Pessoa Física,Promoção C,62,6,2021-07-04,26,7,2021,107,74.89999999999999,449.4
Filial D,Porto Velho,F,Informática,Pessoa Jurídica,Sem Promoção,75,1,2021-07-05,27,7,2021,150,150.0,150.0
Filial E,Macapá,M,Eletro-eletrônicos,Pessoa Física,Promoção B,92,6,2021-07-06,27,7,2021,22,17.6,105.60000000000001
Filial D,Porto Velho,M,Ar condicionado,Pessoa Jurídica,Promoção A,89,18,2021-07-07,27,7,2021,175,157.5,2835.0
Filial A,Porto Velho,M,Eletro-eletrônicos,Pessoa Física,Promoção B,62,9,2021-07-08,27,7,2021,162,129.6,1166.3999999999999
Filial B,Palmas,F,Informática,Pessoa Jurídica,Promoção A,97,15,2021-07-09,27,7,2021,199,179.1,2686.5
Filial B,Rio Branco,F,Ar condicionado,Pessoa Jurídica,Promoção C,1,8,2021-07-10,27,7,2021,160,112.0,896.0
Filial A,Palmas,F,Eletro-eletrônicos,Pessoa Física,Promoção B,27,19,2021-07-11,27,7,2021,95,76.0,1444.0
Filial C,Macapá,M,Móveis,Pessoa Física,Promoção B,62,16,2021-07-12,28,7,2021,30,24.0,384.0
Filial A,Palmas,M,Eletro-eletrônicos,Pessoa Física,Sem Promoção,77,6,2021-07-13,28,7,2021,191,191.0,1146.0
Filial E,Boa Vista,M,Ar condicionado,Pessoa Física,Promoção C,3,6,2021-07-14,28,7,2021,72,50.4,302.4
Filial E,Boa Vista,F,Móveis,Pessoa Física,Promoção A,70,3,2021-07-15,28,7,2021,167,150.3,450.90000000000003
Filial B,Belém,F,Eletro-eletrônicos,Pessoa Física,Promoção C,72,10,2021-07-16,28,7,2021,120,84.0,840.0
Filial E,Manaus,M,Eletro-eletrônicos,Pessoa Jurídica,Promoção B,27,1,2021-07-17,28,7,2021,85,68.0,68.0
Filial B,Belém,M,Ar condicionado,Pessoa Jurídica,Promoção C,9,14,2021-07-18,28,7,2021,82,57.4,803.6
Filial A,Manaus,M,Eletro-eletrônicos,Pessoa Jurídica,Promoção C,62,4,2021-07-19,29,7,2021,169,118.3,473.2
Filial A,Manaus,M,Ar condicionado,Pessoa Jurídica,Promoção A,37,12,2021-07-20,29,7,2021,161,144.9,1738.8000000000002
Filial A,Manaus,M,Ar condicionado,Pessoa Jurídica,Sem Promoção,97,6,2021-07-21,29,7,2021,16,16.0,96.0
Filial B,Belém,M,Eletro-eletrônicos,Pessoa Jurídica,Promoção C,51,11,2021-07-22,29,7,2021,81,56.699999999999996,623.6999999999999
Filial A,Porto Velho,M,Móveis,Pessoa Jurídica,Sem Promoção,44,12,2021-07-23,29,7,2021,138,138.0,1656.0
Filial A,Rio Branco,F,Ar condicionado,Pessoa Jurídica,Promoção B,24,10,2021-07-24,29,7,2021,140,112.0,1120.0
Filial C,Boa Vista,F,Ar condicionado,Pessoa Física,Promoção C,79,18,2021-07-25,29,7,2021,113,79.1,1423.8
Filial A,Porto Velho,M,Informática,Pessoa Jurídica,Sem Promoção,59,7,2021-07-26,30,7,2021,37,37.0,259.0
Filial E,Manaus,F,Eletro-eletrônicos,Pessoa Física,Sem Promoção,32,7,2021-07-27,30,7,2021,52,52.0,364.0
Filial B,Rio Branco,F,Eletro-eletrônicos,Pessoa Jurídica,Promoção C,96,11,2021-07-28,30,7,2021,106,74.19999999999999,816.1999999999998
